resp_pkts,service,orig_ip_bytes,local_resp,missed_bytes,proto,duration,conn_state,dest_ip_zeek,orig_pkts,community_id,resp_ip_bytes,dest_port_zeek,orig_bytes,local_orig,datetime,history,resp_bytes,uid,src_port_zeek,ts,src_ip_zeek,label_tactic
0,dns,138,False,0,udp,0.00011897087097167969,S0,8.8.4.4,2,1:6C/R99yHgscrP+6I4KFxvvWqYuk=,0,53,82.0,False,2022-01-16 12:38:36.097,D,0.0,C1FLCo1am8L3Mi8kwi,51010,1642358316.097585,143.88.11.10,none
0,dns,134,True,0,udp,1.4066696166992188e-05,S0,10.0.10.1,2,1:IbpL0tBfh+rkoD+IG9tDzWOlBvg=,0,53,78.0,False,2022-01-16 09:55:20.762,D,0.0,CnEZIE3EvpHQM6Yiv9,43339,1642348520.762778,143.88.255.10,none
0,dns,316,False,0,udp,5.003693103790283,S0,143.88.11.1,4,1:T/4gbgk6I61vCLxDPldv879hgVg=,0,53,204.0,False,2022-01-16 05:34:27.681,D,0.0,C5hgVy47qt0p0ZOuig,37245,1642332867.681639,143.88.11.14,none
0,dns,158,True,0,udp,1.2159347534179688e-05,S0,10.0.10.1,2,1:JPL9x3mR1Kj4s4LDI5RACujGeW4=,0,53,102.0,False,2022-01-16 08:59:53.258,D,0.0,C25zhJyDLAnqmdocj,60276,1642345193.258566,143.88.255.10,none
2,dns,0,False,0,udp,3.2901763916015625e-05,SHR,143.88.11.1,0,1:pRKvlYFib5sx5NIkebB5gW1V11c=,158,53,0.0,False,2022-01-16 13:06:21.011,^d,102.0,C1OmoR1oYL7gx74n14,40549,1642359981.011059,143.88.11.14,none
1,dns,268,False,0,udp,5.005021095275879,SF,143.88.11.1,4,1:1ATn1u6iqQ+p/Cp8VAk4yh1eGPw=,67,53,156.0,False,2022-01-16 18:32:53.954,Dd,39.0,C1e4W64Jqy6SjblV97,51131,1642379573.954674,143.88.11.14,none
0,dns,355,False,0,udp,8.049257040023804,S0,143.88.11.1,5,1:njh2I04AJEA1tGSOpiXg0PUARcY=,0,53,215.0,False,2022-01-16 16:51:10.169,D,0.0,CdYrZU3gfCN5rtwv1j,61360,1642373470.169482,143.88.11.13,none
2,dns,268,False,0,udp,5.005922794342041,SF,143.88.11.1,4,1:+jUZa41Tzh5DXlrQ0i+RdudNIEA=,134,53,156.0,False,2022-01-16 04:54:15.922,Dd,78.0,CxnWzM3MA5ahJI4xHi,58124,1642330455.922835,143.88.11.14,none
0,dns,158,True,0,udp,1.5974044799804688e-05,S0,10.0.10.1,2,1:L2cX4kBjUNJg8wKWMJoVnQu08Zw=,0,53,102.0,False,2022-01-16 07:06:27.005,D,0.0,C6yIj11hdP7xuT6qj2,45249,1642338387.005841,143.88.255.10,none
0,,176,False,0,tcp,0.0002980232238769531,S0,143.88.7.11,4,1:5kmNDUoMw397MQSCz65J7wXvobY=,0,28201,0.0,False,2022-02-12 13:18:53.082,S,0.0,CFPUz01bDZxHDIHMhi,62816,1644671933.082638,143.88.2.10,Reconnaissance
0,dns,134,True,0,udp,1.8835067749023438e-05,S0,10.0.10.1,2,1:l3f4AINyxkDF1g11OvEV38eisO8=,0,53,78.0,False,2022-01-16 01:15:32.989,D,0.0,CQEMREG7oEZxNyFx8,57569,1642317332.989937,143.88.255.10,none
0,dns,158,True,0,udp,2.86102294921875e-06,S0,10.0.10.1,2,1:YKFQoFo4773f5WM8h5fi7TV0ExU=,0,53,102.0,False,2022-01-16 17:06:54.785,D,0.0,CoMg204kFY9dGh7yle,40784,1642374414.785104,143.88.255.10,none
0,dns,158,True,0,udp,1.4066696166992188e-05,S0,10.0.10.1,2,1:6gC8EMNxPhsKsu4GRyfoQq+o7WA=,0,53,102.0,False,2022-01-16 14:36:10.025,D,0.0,CPasHz4C3p3mv8pfud,41097,1642365370.025148,143.88.255.10,none
0,dns,316,False,0,udp,5.0050859451293945,S0,143.88.11.1,4,1:fEg3RzSwiYe3Nsj43pkVleEUZQw=,0,53,204.0,False,2022-01-16 20:47:44.668,D,0.0,CRWNzx1Rjm5rR6GVe1,53513,1642387664.668538,143.88.11.14,none
0,dns,134,True,0,udp,1.4066696166992188e-05,S0,10.0.10.1,2,1:xKZcm/Z3YJ0mO6CGbj2WbXW2czM=,0,53,78.0,False,2022-01-16 04:10:29.748,D,0.0,CkG6zd4j23CaEPloza,45070,1642327829.748651,143.88.255.10,none
0,,240,False,0,tcp,0.00010013580322265625,S0,143.88.7.15,4,1:9siCheKXuzbSeFZEgKPEjXVNpsc=,0,1183,0.0,False,2022-02-10 17:48:00.648,S,0.0,CnKD2d2TPU7ep3dp6b,45592,1644515280.648244,143.88.2.10,Reconnaissance
0,dns,134,True,0,udp,1.2159347534179688e-05,S0,10.0.10.1,2,1:kiOuZXj6SWrWJBwiJpO9LldEZYg=,0,53,78.0,False,2022-01-16 02:12:31.241,D,0.0,CRvrMW7tiusj3GT5l,46505,1642320751.241912,143.88.255.10,none
0,dns,158,True,0,udp,1.4066696166992188e-05,S0,10.0.10.1,2,1:OzwUhpD9E5MdBFalhkJrbBXZCJA=,0,53,102.0,False,2022-01-16 06:30:09.003,D,0.0,C3UJgnDdy4ibvjCFk,38951,1642336209.00312,143.88.255.10,none
0,dns,114,False,0,udp,0.00011396408081054688,S0,8.8.4.4,2,1:rjezGBFy7I6v28MlaWU/zolTqYU=,0,53,58.0,False,2022-01-16 15:48:39.257,D,0.0,C8Zzhg1nUq1XTkEJ2k,45655,1642369719.257527,143.88.11.10,none
2,dns,0,False,0,udp,2.1457672119140625e-06,SHR,143.88.11.1,0,1:Qvrd8IEw1J2/pfdK1EQFailpTz8=,154,53,0.0,False,2022-01-16 00:44:58.942,^d,98.0,CKIx6g3JeA1wnqKMzf,57532,1642315498.942993,143.88.11.11,none
0,dns,126,False,0,udp,0.0001289844512939453,S0,8.8.4.4,2,1:KOGk62ygyjXmxZrVNL+Qk/GG6HE=,0,53,70.0,False,2022-01-16 00:28:29.239,D,0.0,CnZ4yn22CwQdkE5UTk,33436,1642314509.239765,143.88.11.10,none
0,dns,158,True,0,udp,1.4066696166992188e-05,S0,10.0.10.1,2,1:wlL/vUsgXOnwQs85wtiA8xGKMBA=,0,53,102.0,False,2022-01-16 06:56:22.007,D,0.0,C9ACWcnIPnwAHL6ne,42657,1642337782.007149,143.88.255.10,none
0,dns,138,False,0,udp,0.00010800361633300781,S0,8.8.4.4,2,1:M8NRn2pT5Wmz5fzX1pIg7gQsoMw=,0,53,82.0,False,2022-01-16 13:29:02.473,D,0.0,CTfgpv39KuvzAqbj7i,51426,1642361342.473838,143.88.11.10,none
0,dns,158,True,0,udp,1.0967254638671875e-05,S0,10.0.10.1,2,1:s8W7wms3kkfoii71xOSHxE1VvLk=,0,53,102.0,False,2022-01-16 13:48:16.273,D,0.0,CSKdZX3vypLCQNeDEf,38450,1642362496.27373,143.88.255.10,none
2,dns,0,False,0,udp,2.288818359375e-05,SHR,143.88.11.1,0,1:qYc3yHICHR6SuosVRK5j+bg4ptE=,158,53,0.0,False,2022-01-16 06:02:56.531,^d,102.0,C6q90tvnRyNpVMVk1,48236,1642334576.531949,143.88.11.14,none
0,dns,158,True,0,udp,1.0967254638671875e-05,S0,10.0.10.1,2,1:+BUcuAxCU7DP1+TlYpGyf663hoI=,0,53,102.0,False,2022-01-16 15:19:01.278,D,0.0,CFA6Kw1Ix08CIANGbd,45246,1642367941.278229,143.88.255.10,none
0,dns,138,False,0,udp,0.0001010894775390625,S0,8.8.4.4,2,1:Nb0tMWs56r3S/qsiKrM0h7amrr8=,0,53,82.0,False,2022-01-16 06:24:45.762,D,0.0,CbLk7V1fhK07xkju07,39532,1642335885.762312,143.88.11.10,none
0,dns,158,True,0,udp,1.2159347534179688e-05,S0,10.0.10.1,2,1:KJ15h+SxjIQds3TFMmugZi8LD1Y=,0,53,102.0,False,2022-01-16 15:32:07.779,D,0.0,CtPiF74X2q8fAFbBd9,38688,1642368727.779378,143.88.255.10,none
0,dns,134,True,0,udp,1.1920928955078125e-05,S0,10.0.10.1,2,1:nN/Vgyc6xrSoS8aYiYNnwGkDd5k=,0,53,78.0,False,2022-01-16 04:13:31.245,D,0.0,CQUaO24eGrjFAJFRhc,34492,1642328011.245424,143.88.255.10,none
0,dns,134,True,0,udp,9.059906005859375e-06,S0,10.0.10.1,2,1:SglqToGuDUlAdU2b4U95do0I4/g=,0,53,78.0,False,2022-01-16 12:34:09.519,D,0.0,CJIhFkZmMHCgOkbrh,41697,1642358049.519125,143.88.255.10,none
0,dns,138,False,0,udp,7.295608520507812e-05,S0,8.8.8.8,2,1:ljhFMk0t5/itCAU+lAn1r1ZAxro=,0,53,82.0,False,2022-01-16 02:51:05.680,D,0.0,C7mhGR3JWyTXz2y4N9,35385,1642323065.680876,143.88.11.10,none
0,dns,158,True,0,udp,1.5020370483398438e-05,S0,10.0.10.1,2,1:wDcw5dzmvCrVlr+5BZhM4ohzd7c=,0,53,102.0,False,2022-01-16 02:49:19.491,D,0.0,CUIYz12UuODtYHssQ3,54314,1642322959.491072,143.88.255.10,none
0,dns,134,True,0,udp,1.4066696166992188e-05,S0,10.0.10.1,2,1:2MdE6EFmQJydEUKKyEWMYbr54GM=,0,53,78.0,False,2022-01-16 04:09:59.498,D,0.0,CSRGCw1am4JH3ShB6c,56474,1642327799.498733,143.88.255.10,none
0,dns,134,True,0,udp,1.3113021850585938e-05,S0,10.0.10.1,2,1:AaCJF5QZ2buauXh2aRienI99CLs=,0,53,78.0,False,2022-01-16 05:41:14.751,D,0.0,CNhuxo3gm9TlmKkzHf,55698,1642333274.75172,143.88.255.10,none
0,dns,138,False,0,udp,7.700920104980469e-05,S0,8.8.4.4,2,1:gbgbXbkn+gtmdjG1i1DsrWkfMjM=,0,53,82.0,False,2022-01-16 20:44:46.098,D,0.0,C13PGG2pY1GANb2hI7,59442,1642387486.098151,143.88.11.10,none
0,dns,114,False,0,udp,0.00013589859008789062,S0,8.8.4.4,2,1:QyTSGNfARJpmfVHkWc20jU2bRfo=,0,53,58.0,False,2022-01-16 17:48:39.264,D,0.0,Cpjb2149QR3xH9AVBk,50456,1642376919.264902,143.88.11.10,none
0,dns,142,False,0,udp,0.0001270771026611328,S0,8.8.8.8,2,1:dkOG/iALh65XgbNm0YHiAbMxqVQ=,0,53,86.0,False,2022-01-16 03:55:59.111,D,0.0,CUHi28Ln3CLTDp2bf,39820,1642326959.111837,143.88.11.10,none
0,dns,138,False,0,udp,0.00011086463928222656,S0,8.8.8.8,2,1:PgZGWhPj/Z4KpriLi1aJFvbO07E=,0,53,82.0,False,2022-01-16 07:33:17.545,D,0.0,CU0qg54Ezb7qMuYUdj,58920,1642339997.545597,143.88.11.10,none
0,dns,134,True,0,udp,5.4836273193359375e-05,S0,10.0.10.1,2,1:kwmVXdsICTf8TM4DXlqXueqg22Y=,0,53,78.0,False,2022-01-16 08:35:41.257,D,0.0,CxoQLK1eOoQjYpeHS,36820,1642343741.257847,143.88.255.10,none
0,dns,134,True,0,udp,1.5020370483398438e-05,S0,10.0.10.1,2,1:iVlH2B9wnobVIxKqkaqjOa/BIFg=,0,53,78.0,False,2022-01-16 16:56:19.534,D,0.0,C8apU4fcWcb1M7uo9,39541,1642373779.53462,143.88.255.10,none
0,dns,158,True,0,udp,1.5974044799804688e-05,S0,10.0.10.1,2,1:FLEp5KSToQxcLKjGKEvc2Rzb+YQ=,0,53,102.0,False,2022-01-16 09:31:39.012,D,0.0,CoiXlO2c0JxGNdqmSg,48348,1642347099.012074,143.88.255.10,none
0,dns,138,False,0,udp,0.0001709461212158203,S0,8.8.8.8,2,1:kpBAsqONXXBsttUPCadmibt6oeo=,0,53,82.0,False,2022-01-16 16:19:40.325,D,0.0,Ct2dSp1mnQ07XcFCni,52333,1642371580.325619,143.88.11.10,none
0,dns,138,False,0,udp,3.910064697265625e-05,S0,8.8.4.4,2,1:ELwfWTn+eZxekfleTrocQ/XPnjc=,0,53,82.0,False,2022-01-16 04:58:35.908,D,0.0,CD1tTL2vmvMDFQAW92,59843,1642330715.908916,143.88.11.10,none
2,dns,0,False,0,udp,0.00011301040649414062,SHR,143.88.11.1,0,1:T06Hy++CJUbiSYDZtPSKlplmiMc=,158,53,0.0,False,2022-01-16 08:23:16.585,^d,102.0,CiuBx936Sygi64pBo,59827,1642342996.585179,143.88.11.14,none
