resp_pkts,service,orig_ip_bytes,local_resp,missed_bytes,proto,duration,conn_state,dest_ip_zeek,orig_pkts,community_id,resp_ip_bytes,dest_port_zeek,orig_bytes,local_orig,datetime,history,resp_bytes,uid,src_port_zeek,ts,ksrc_ip_zee,label_tactic
0,dns,134,True,0,udp,1.1920928955078125e-05,S0,10.0.10.1,2,1:O68XRoEwVir6u71hVJYbjIQW5u8=,0,53,78.0,False,2021-12-17 19:37:02.632,D,0.0,CfZ2kq33oVsuPY6FDg,36417,1639791422.63228,143.88.255.10,none
0,dns,158,True,0,udp,1.6927719116210938e-05,S0,10.0.10.1,2,1:AJz+/rlKUpFbR/l4+vVp+aSEZME=,0,53,102.0,False,2021-12-17 22:26:56.882,D,0.0,CrubgATrumqGE1uI7,43348,1639801616.882497,143.88.255.10,none
0,dns,158,True,0,udp,9.059906005859375e-06,S0,10.0.10.1,2,1:12XKUBNpyDbgOvtp3qswuqdRDuI=,0,53,102.0,False,2021-12-18 15:05:11.883,D,0.0,C1EFH41BgewTZ7N9fc,34635,1639861511.883316,143.88.255.10,none
0,dns,158,True,0,udp,9.059906005859375e-06,S0,10.0.10.1,2,1:JCAv8ayzsYG2v4zUMocC5NSkZso=,0,53,102.0,False,2021-12-18 23:41:58.130,D,0.0,C6srcBYLWHVGCIsV1,53187,1639892518.130759,143.88.255.10,none
0,dns,158,True,0,udp,1.71661376953125e-05,S0,10.0.10.1,2,1:qCXowy3gT7NNYvj/sT3oJUmrI9c=,0,53,102.0,False,2021-12-18 23:37:25.883,D,0.0,CoEgPj3fCwkDF57dmj,56956,1639892245.88352,143.88.255.10,none
0,dns,158,True,0,udp,1.9073486328125e-05,S0,10.0.10.1,2,1:xNVAmDSG1LBjs9sif97w9l2eTl0=,0,53,102.0,False,2021-12-18 16:13:15.633,D,0.0,CJ1O1b38zu7w7tLGO9,56190,1639865595.63372,143.88.255.10,none
0,dns,158,True,0,udp,1.2159347534179688e-05,S0,10.0.10.1,2,1:4/NXaVdlSm8pcN5qjor3t0ogzfs=,0,53,102.0,False,2021-12-18 08:13:17.632,D,0.0,CTt2ojirTEwS9AD33,41572,1639836797.63283,143.88.255.10,none
0,dns,134,True,0,udp,1.0967254638671875e-05,S0,10.0.10.1,2,1:M9835/PrpnwNw2mIZa3ri8/PCqk=,0,53,78.0,False,2021-12-18 17:42:29.885,D,0.0,C1eBch1tFrSntubqt9,48508,1639870949.885879,143.88.255.10,none
0,dns,158,True,0,udp,1.1920928955078125e-05,S0,10.0.10.1,2,1:WNOLxC4/eQ7fw6VDCDoAEjBJBVM=,0,53,102.0,False,2021-12-18 13:41:00.131,D,0.0,CVBHaF3rHMIeb4K83,43079,1639856460.131612,143.88.255.10,none
0,dns,134,True,0,udp,1.3828277587890625e-05,S0,10.0.10.1,2,1:PofZhHXACpshHyDt5MnK7Msf5YI=,0,53,78.0,False,2021-12-18 11:10:45.632,D,0.0,CcJsOz7a1VBZ83nm2,49625,1639847445.632316,143.88.255.10,none
0,dns,158,True,0,udp,1.5974044799804688e-05,S0,10.0.10.1,2,1:pQKYykWHwaJ2bo9baOoORsnEYHs=,0,53,102.0,False,2021-12-17 13:39:05.134,D,0.0,CYjpxO1N5ARw66W1Ll,36614,1639769945.13469,143.88.255.10,none
0,dns,134,True,0,udp,1.1205673217773438e-05,S0,10.0.10.1,2,1:G0cOfOD7vpDuZUjdJq1GLK1qgxg=,0,53,78.0,False,2021-12-18 18:25:51.383,D,0.0,C5S1CI2O9ro4FxD955,37036,1639873551.383921,143.88.255.10,none
0,dns,158,True,0,udp,1.2874603271484375e-05,S0,10.0.10.1,2,1:N224mbvZBTvq3i89V8KjRNVO/Yk=,0,53,102.0,False,2021-12-18 03:16:20.383,D,0.0,CpPnPFqv2hYuthhDi,54787,1639818980.38382,143.88.255.10,none
0,dns,134,True,0,udp,1.1920928955078125e-05,S0,10.0.10.1,2,1:34hHKp6Co8+Lb0eOaHX9aKlDIEo=,0,53,78.0,False,2021-12-18 00:38:32.133,D,0.0,CxWvfx30QGBtEIZ9T4,49798,1639809512.13397,143.88.255.10,none
0,dns,134,True,0,udp,1.0967254638671875e-05,S0,10.0.10.1,2,1:132dhkAmanwl3C672pFJ5nkzO3g=,0,53,78.0,False,2021-12-18 03:42:03.132,D,0.0,CR7f5s4KNL3HMQwKUc,51067,1639820523.13242,143.88.255.10,none
0,dns,134,True,0,udp,1.1920928955078125e-05,S0,10.0.10.1,2,1:w5NOZRvl53810oecwEEZa9c/pkQ=,0,53,78.0,False,2021-12-17 07:41:07.631,D,0.0,CKOLrt34zNiw8ndp8l,53553,1639748467.631504,143.88.255.10,none
0,dns,158,True,0,udp,1.5974044799804688e-05,S0,10.0.10.1,2,1:wvg9S4lirVGeqjXhBvhdzneN6ss=,0,53,102.0,False,2021-12-18 19:29:22.881,D,0.0,CUnRV83SUPIoE1hT92,45440,1639877362.881491,143.88.255.10,none
0,dns,134,True,0,udp,1.2874603271484375e-05,S0,10.0.10.1,2,1:nGJga+WZi5uEawJZbMlxo+nj79g=,0,53,78.0,False,2021-12-17 22:28:27.631,D,0.0,CCtqeM33LFI1g9T6k8,55093,1639801707.631108,143.88.255.10,none
0,dns,158,True,0,udp,1.7881393432617188e-05,S0,10.0.10.1,2,1:hKYrdnruD9F+wiOn9R+181YUsrU=,0,53,102.0,False,2021-12-18 04:23:53.883,D,0.0,COxbNGxVhu5w9mLE4,60526,1639823033.883584,143.88.255.10,none
0,,1050,False,0,udp,63.05047082901001,S0,ff02::1:2,7,1:LqneR5u9X+qYqWVP3wA3L6djtIE=,0,547,714.0,False,2021-12-18 09:04:52.455,D,0.0,CWhjOC4emQMJFkDjq,546,1639839892.455284,fe80::70d8:2461:35d9:c9ea,none
0,dns,134,True,0,udp,1.6927719116210938e-05,S0,10.0.10.1,2,1:7k+YB5p1OkSyo6KUlB5mWdBm4aY=,0,53,78.0,False,2021-12-17 14:55:12.883,D,0.0,CJqP6Exgl9ItRcHxb,60003,1639774512.883261,143.88.255.10,none
0,dns,134,True,0,udp,1.3113021850585938e-05,S0,10.0.10.1,2,1:dQB0f+cCfpc43CFKPf/7JBYDS44=,0,53,78.0,False,2021-12-17 17:58:13.635,D,0.0,CgKJ7x3R7YuRJ6CcSk,36808,1639785493.635249,143.88.255.10,none
0,dns,134,True,0,udp,1.1205673217773438e-05,S0,10.0.10.1,2,1:2ExnUxzMFg4NgAvh4c6I/pIbkEg=,0,53,78.0,False,2021-12-18 12:22:21.130,D,0.0,CgwCbIF5UlzWAs88i,34437,1639851741.130962,143.88.255.10,none
0,dns,134,True,0,udp,2.09808349609375e-05,S0,10.0.10.1,2,1:G5M/QXN0/o+CDee/j0FfKoISre0=,0,53,78.0,False,2021-12-17 21:04:15.882,D,0.0,C4jiH421EJDIhko6Jj,37718,1639796655.882632,143.88.255.10,none
0,dns,134,True,0,udp,1.5974044799804688e-05,S0,10.0.10.1,2,1:DQF2yPGhEjqeCfSqlJVRImkbFqE=,0,53,78.0,False,2021-12-18 01:33:59.634,D,0.0,CgeSk13ICi7EIHbxRc,59403,1639812839.634365,143.88.255.10,none
0,dns,134,True,0,udp,1.3113021850585938e-05,S0,10.0.10.1,2,1:ATY2ARlJsSAWy0HcJRf6PcDqrmo=,0,53,78.0,False,2021-12-17 14:58:44.631,D,0.0,C8LOypl8Lt74Xok0g,50812,1639774724.631327,143.88.255.10,none
