resp_pkts,service,orig_ip_bytes,local_resp,missed_bytes,proto,duration,conn_state,dest_ip_zeek,orig_pkts,community_id,resp_ip_bytes,dest_port_zeek,orig_bytes,local_orig,datetime,history,resp_bytes,uid,src_port_zeek,ts,src_ip_zeek,label_tactic
0,dns,312,False,0,udp,4.003190994262695,S0,143.88.11.255,4,1:t7BMQao12G14cCDu8mkb7IvhFc0=,0,137,200.0,False,2022-01-16 00:02:12.725,D,0.0,CuHbYj1581LMiLvBv6,137,1642312932.725446,143.88.11.11,none
0,dns,134,True,0,udp,1.4066696166992188e-05,S0,10.0.10.1,2,1:IbpL0tBfh+rkoD+IG9tDzWOlBvg=,0,53,78.0,False,2022-01-16 09:55:20.762,D,0.0,CnEZIE3EvpHQM6Yiv9,43339,1642348520.762778,143.88.255.10,none
0,dns,138,False,0,udp,9.512901306152344e-05,S0,8.8.4.4,2,1:r+w59Gva+KJYre60/EhSIvCGrGU=,0,53,82.0,False,2022-01-16 12:31:46.033,D,0.0,CgkuUn4As5DJMOYNlh,49131,1642357906.033382,143.88.11.10,none
0,dns,138,False,0,udp,8.416175842285156e-05,S0,8.8.4.4,2,1:9m03G04e99DeUJS6fIFPPga+sw4=,0,53,82.0,False,2022-01-16 08:07:00.220,D,0.0,Cwz7h014BOMUjVNUv9,55398,1642342020.22043,143.88.11.10,none
0,dns,134,True,0,udp,2.288818359375e-05,S0,10.0.10.1,2,1:uEXeea6mLhdeRpsMJZV4DtiBAnM=,0,53,78.0,False,2022-01-16 07:20:03.754,D,0.0,CuzAw63VdoaPHSHfnl,46109,1642339203.754893,143.88.255.10,none
0,dns,134,True,0,udp,1.7881393432617188e-05,S0,10.0.10.1,2,1:z7kdErbC1XGwOEfeaExxKRlmyW4=,0,53,78.0,False,2022-01-16 03:51:50.496,D,0.0,CNYnCH1AaYAh7StkR8,54186,1642326710.49668,143.88.255.10,none
0,dns,134,True,0,udp,1.9073486328125e-05,S0,10.0.10.1,2,1:NIr84cr2SRIPJE03Vux+1C09YWg=,0,53,78.0,False,2022-01-16 16:06:24.780,D,0.0,CpJi0B3fokUCdC5yFf,52962,1642370784.780412,143.88.255.10,none
0,dns,134,True,0,udp,1.1920928955078125e-05,S0,10.0.10.1,2,1:yfTkS5s8G50HO+XDfXXhm87bOwU=,0,53,78.0,False,2022-01-16 10:41:13.517,D,0.0,C7iYod2Xe9Yk8KY8Ga,48176,1642351273.517549,143.88.255.10,none
1,,72,False,0,icmp,0.0001289844512939453,OTH,fe80::250:56ff:fe9e:ef90,1,1:plmDtHFmNQL6jda3nA98S44pmlM=,64,136,24.0,False,2022-01-16 12:43:16.349,,16.0,CYctlg48bucDXrfUAg,135,1642358596.349302,fe80::250:56ff:fe9e:da15,none
0,dns,158,True,0,udp,1.5974044799804688e-05,S0,10.0.10.1,2,1:ZOhVDlMWaLpCWfYnPuaSbBxMxbk=,0,53,102.0,False,2022-01-16 17:26:04.282,D,0.0,C8O0fGyPYrSDJm25,32833,1642375564.282584,143.88.255.10,none
0,,176,False,0,tcp,0.0002999305725097656,S0,143.88.7.11,4,1:KgQPTszeBZmL0FGVHpYHmSDy7sw=,0,8651,0.0,False,2022-02-12 13:53:11.275,S,0.0,CNZ2mz3vGudgo7Lgvk,39001,1644673991.275474,143.88.2.10,Reconnaissance
0,dns,138,False,0,udp,8.893013000488281e-05,S0,8.8.8.8,2,1:ZPePvZZw32Bw5lxw4b+uDWVqLdk=,0,53,82.0,False,2022-01-16 07:44:03.954,D,0.0,Cb1vSL1V4CQYph4fb2,45662,1642340643.954092,143.88.11.10,none
0,dns,134,True,0,udp,1.2159347534179688e-05,S0,10.0.10.1,2,1:Z6SQdtiGMZSVMmy+kvSXA4UxeLE=,0,53,78.0,False,2022-01-16 14:42:43.277,D,0.0,C3BcKDEOagJWqMW84,56367,1642365763.277125,143.88.255.10,none
1,,72,False,0,icmp,0.00011587142944335938,OTH,fe80::250:56ff:fe9e:da15,1,1:kqDdQjGjWlHDBR2gIbitVo13Xug=,64,136,24.0,False,2022-01-16 03:46:22.226,,16.0,Cy298R1IQNa8WkT7Nb,135,1642326382.226978,fe80::250:56ff:fe9e:ef90,none
0,dns,158,True,0,udp,1.5974044799804688e-05,S0,10.0.10.1,2,1:pDULu8rQsBlpWJwGgjHZ56dAWdU=,0,53,102.0,False,2022-01-16 02:57:23.494,D,0.0,CDIo553UErL5tFjSfc,55236,1642323443.494816,143.88.255.10,none
0,dns,158,True,0,udp,1.4066696166992188e-05,S0,10.0.10.1,2,1:y4P5IYw+zXQkGkLnYyifsyh0ZWA=,0,53,102.0,False,2022-01-16 09:35:10.761,D,0.0,CI243tpG51uvGYzm6,37248,1642347310.761165,143.88.255.10,none
0,dns,138,False,0,udp,4.887580871582031e-05,S0,8.8.8.8,2,1:ttewzbn7zUobyDpvxXM658ohUqE=,0,53,82.0,False,2022-01-16 02:08:34.282,D,0.0,CjnAYN2goLxnXxQIR1,56983,1642320514.282052,143.88.11.10,none
0,dns,158,True,0,udp,1.5974044799804688e-05,S0,10.0.10.1,2,1:L2cX4kBjUNJg8wKWMJoVnQu08Zw=,0,53,102.0,False,2022-01-16 07:06:27.005,D,0.0,C6yIj11hdP7xuT6qj2,45249,1642338387.005841,143.88.255.10,none
0,dns,134,True,0,udp,1.5974044799804688e-05,S0,10.0.10.1,2,1:Kk/zFF7M+jjrmgWAGsZ9zhr6J/Q=,0,53,78.0,False,2022-01-16 10:15:00.515,D,0.0,CmuBz02FOOIjWsVRya,33126,1642349700.515708,143.88.255.10,none
0,dns,158,True,0,udp,1.6927719116210938e-05,S0,10.0.10.1,2,1:eZ44ph0sVutsDv73nLHMpKrl3lA=,0,53,102.0,False,2022-01-16 06:43:45.754,D,0.0,CCqUbg30U0jloRrG8k,33717,1642337025.7546,143.88.255.10,none
0,dns,138,False,0,udp,0.00013184547424316406,S0,8.8.4.4,2,1:GFf9RYMETMufSBVfYddoppPnbYo=,0,53,82.0,False,2022-01-16 04:59:56.322,D,0.0,CMmvYg1FHIWJ4AShK3,59017,1642330796.322483,143.88.11.10,none
0,dns,158,True,0,udp,1.6927719116210938e-05,S0,10.0.10.1,2,1:zCPZfqfrwR7ZBJRuUTNFzDS6HDg=,0,53,102.0,False,2022-01-16 22:09:24.794,D,0.0,C5QUXX2SAttPYrenA8,33151,1642392564.794662,143.88.255.10,none
0,dns,268,False,0,udp,5.0044450759887695,S0,143.88.11.1,4,1:TndtT5GPhX+DfwySgKsA6jcwv+0=,0,53,156.0,False,2022-01-16 00:56:55.980,D,0.0,CfBTuL25YxVlyp5yCk,51006,1642316215.980881,143.88.11.14,none
